date,open,high,low,close,volume
2015-10-15,216.43,221.73,213.7,221.31,2835920.0
2015-10-16,223.04,230.4805,222.87,227.01,4327574.0
2015-10-19,226.5,231.15,224.94,228.1,2506836.0
2015-10-20,227.72,228.6,202.0,213.03,14877020.0
2015-10-21,211.99,214.81,208.8,210.09,4177956.0
2015-10-22,211.56,215.75,209.4,211.72,2818801.0
2015-10-23,215.0,215.35,207.69,209.09,4226411.0
2015-10-26,211.38,215.88,210.0,215.26,3388227.0
2015-10-27,214.84,217.1,207.51,210.35,3512832.0
2015-10-28,211.31,213.45,208.3,212.96,2726880.0
2015-10-29,211.75,213.7481,210.64,211.63,1794743.0
2015-10-30,210.4,211.63,203.89,206.93,4432433.0
2015-11-02,208.92,215.8,207.22,213.79,3924514.0
2015-11-03,213.85,214.44,207.75,208.35,8065091.0
2015-11-04,227.0,232.74,225.2,231.63,12713530.0
2015-11-05,230.58,234.5843,229.19,231.77,4494944.0
2015-11-06,230.7,233.359,229.5,232.36,2444264.0
2015-11-09,232.99,232.99,224.31,225.33,3846179.0
2015-11-10,223.48,223.7,216.08,216.5,4612408.0
2015-11-11,217.77,219.48,213.63,219.08,3337501.0
2015-11-12,217.85,219.0,212.66,212.94,2913511.0
2015-11-13,212.95,212.99,206.52,207.19,3423139.0
2015-11-16,206.09,214.98,205.8,214.31,2920362.0
2015-11-17,215.2,216.0,211.4,214.0,2148326.0
2015-11-18,214.5,221.38,212.52,221.07,2810200.0
2015-11-19,220.54,226.19,220.3,221.8,2499593.0
2015-11-20,223.49,225.0,213.58,220.01,4394199.0
2015-11-23,217.35,219.18,214.6798,217.75,2525196.0
2015-11-24,215.37,221.0,215.0,218.25,2478389.0
2015-11-25,221.34,230.825,220.375,229.64,3986945.0
2015-11-27,231.06,232.25,227.01,231.61,1949353.0
2015-11-30,231.79,234.28,229.08,230.26,2591205.0
2015-12-01,231.06,238.0,231.05,237.19,3728562.0
2015-12-02,237.0,238.6,231.23,231.99,2980644.0
2015-12-03,235.48,237.45,230.0,232.71,2937233.0
2015-12-04,232.46,233.27,227.66,230.38,2572014.0
2015-12-07,227.7,235.63,226.15,231.13,3140864.0
2015-12-08,227.52,228.8,224.2,226.72,2682259.0
2015-12-09,226.7,227.5,220.72,224.52,3057036.0
